Time,Significant_height_of_combined_wind_waves_and_swell_surface,Primary_wave_direction_surface,Primary_wave_mean_period_surface,Wind_direction_from_which_blowing_surface,Wind_speed_surface,Primary_wave_direction_surface,Primary_wave_mean_period_surface,Wind_direction_from_which_blowing_surface,Wind_speed_surface,Mean_period_of_swell_waves_ordered_sequence_of_data,Mean_period_of_wind_waves_surface,Direction_of_wind_waves_surface,Direction_of_swell_waves_ordered_sequence_of_data
2015-01-11 00:00:00 CST,1.3091187477111816,(180.93028259277344),16.630891799926758,(55.180206298828125),9.102173805236816,(180.93028259277344),16.630891799926758,(55.180206298828125),9.102173805236816,11.975794792175293,4.652655601501465,(49.69889450073242),(216.33346557617188)
2015-01-11 06:00:00 CST,1.3596055507659912,(184.6234130859375),16.158727645874023,(51.952213287353516),8.936594009399414,(184.6234130859375),16.158727645874023,(51.952213287353516),8.936594009399414,17.130624771118164,4.888050079345703,(41.57986831665039),(211.28060913085938)
2015-01-11 12:00:00 CST,1.3847342729568481,(189.7332763671875),16.10643196105957,(51.770389556884766),8.608003616333008,(189.7332763671875),16.10643196105957,(51.770389556884766),8.608003616333008,16.18021583557129,4.982909679412842,(42.395896911621094),(217.1558074951172)
2015-01-11 18:00:00 CST,1.3704301118850708,(194.882080078125),15.702735900878906,(50.41312789916992),9.25129508972168,(194.882080078125),15.702735900878906,(50.41312789916992),9.25129508972168,11.589153289794922,4.855980396270752,(42.74496078491211),(217.8116455078125)
2015-01-12 00:00:00 CST,1.3740187883377075,(186.02020263671875),14.635738372802734,(53.24441909790039),8.928038597106934,(186.02020263671875),14.635738372802734,(53.24441909790039),8.928038597106934,11.198307037353516,4.853966236114502,(47.72218704223633),(191.54684448242188)
2015-01-12 06:00:00 CST,1.3832213878631592,(185.13250732421875),14.546674728393555,(51.93916702270508),9.315688133239746,(185.13250732421875),14.546674728393555,(51.93916702270508),9.315688133239746,10.280016899108887,4.901954174041748,(42.21376037597656),(191.5973663330078)
2015-01-12 12:00:00 CST,1.4260132312774658,(183.5241241455078),13.867618560791016,(49.00164031982422),9.1680908203125,(183.5241241455078),13.867618560791016,(49.00164031982422),9.1680908203125,14.291522026062012,5.001134395599365,(41.0109748840332),(180.1982421875)
2015-01-12 18:00:00 CST,1.3619191646575928,(197.11505126953125),14.319851875305176,(47.59443664550781),9.156682014465332,(197.11505126953125),14.319851875305176,(47.59443664550781),9.156682014465332,14.128694534301758,4.850831985473633,(40.6557731628418),(190.88040161132812)
2015-01-13 00:00:00 CST,1.3700854778289795,(188.97232055664062),13.67184066772461,(44.80989456176758),9.871572494506836,(188.97232055664062),13.67184066772461,(44.80989456176758),9.871572494506836,14.628500938415527,4.704268455505371,(42.32891082763672),(189.94485473632812)
2015-01-13 06:00:00 CST,1.4584839344024658,(190.90431213378906),13.553454399108887,(48.78290939331055),10.284774780273438,(190.90431213378906),13.553454399108887,(48.78290939331055),10.284774780273438,13.250616073608398,4.919806957244873,(40.313350677490234),(218.18280029296875)
2015-01-13 12:00:00 CST,1.566819667816162,(185.93887329101562),12.922161102294922,(45.3663330078125),10.267404556274414,(185.93887329101562),12.922161102294922,(45.3663330078125),10.267404556274414,13.25422191619873,5.181985855102539,(35.95257568359375),(189.19638061523438)
